,平均交易量
玉山金       ,17934
玉晶光       ,1754
王品         ,110
瑞儀         ,2541
瑞利         ,240
瑞昱         ,2888
瑞智         ,260
瑞軒         ,750
環科         ,388
生達         ,148
界霖         ,21
百一         ,186
百和         ,3825
百和興業-KY  ,12673
百容         ,443
百達-KY      ,347
皇昌         ,238
皇普         ,107
皇翔         ,260
益登         ,476
益航         ,668
盛群         ,190
盛達         ,224
盛餘         ,97
盟立         ,212
眾達-KY      ,138
矽創         ,1690
矽力-KY      ,1605
矽格         ,466
矽統         ,437
研華         ,1406
碩天         ,98
神基         ,4521
神州-DR      ,27
神腦         ,193
神達         ,8494
神隆         ,1351
祥碩         ,2993
福懋         ,1269
福懋科       ,222
福興         ,314
福貞-KY      ,69
禾伸堂       ,120
秋雨         ,2
科嘉-KY      ,164
科妍         ,378
科風         ,37
程泰         ,76
立德         ,204
立益         ,291
立萬利       ,707
立隆電       ,319
競國         ,314
第一保       ,73
第一店       ,177
第一金       ,6451
第一銅       ,65
精元         ,7931
精成科       ,612
精技         ,68
精熙-DR      ,323
精英         ,1581
精誠         ,7909
統一實       ,1887
統一證       ,1096
統一超       ,905
統懋         ,150
統領         ,19
維熹         ,79
緯創         ,14155
總太         ,134
羅昇         ,41
美亞         ,32
美利達       ,413
美吾華       ,492
美律         ,2369
美德醫療-DR  ,2695
美隆電       ,91
美食-KY      ,572
群光         ,1003
群創         ,35855
群益期       ,175
群益證       ,2037
群電         ,1125
義隆         ,3510
翔耀         ,170
耿鼎         ,896
聖馬丁-DR    ,2216
聚亨         ,147
聚碩         ,87
聚陽         ,2177
聚隆         ,122
聚鼎         ,238
聯上發       ,1090
聯傑         ,551
聯合再生     ,3800
聯強         ,2002
聯德         ,128
聯德控股-KY  ,266
聯成         ,1522
聯昌         ,1355
聯發         ,2255
聯發科       ,7337
聯穎         ,52
聯茂         ,121
聯詠         ,2666
聯邦銀       ,365
聯鈞         ,2595
聯陽         ,492
聯電         ,29999
聲寶         ,555
至上         ,706
致伸         ,3027
致新         ,248
致茂         ,426
臺企銀       ,4349
臺鹽         ,131
臻鼎-KY      ,3340
興勤         ,103
興富發       ,1673
興農         ,513
良得電       ,128
艾笛森       ,194
艾美特-KY    ,58
花仙子       ,682
英業達       ,4664
英瑞-KY      ,63
茂林-KY      ,111
茂矽         ,652
茂順         ,98
華上         ,115
華冠         ,3788
華南金       ,5299
華友聯       ,92
華固         ,540
華園         ,32
華城         ,135
華夏         ,1071
華孚         ,735
華廣         ,426
華建         ,1342
華擎         ,59
華新         ,12477
華新科       ,8672
華晶科       ,564
華東         ,772
華榮         ,70
華泰         ,2086
華碩         ,1366
華票         ,720
華立         ,73
華紙         ,1405
華經         ,226
華興         ,332
華航         ,22546
華豐         ,318
華通         ,3381
華邦電       ,21171
華電         ,44
菱光         ,256
菱生         ,1354
萬企         ,30
萬海         ,10615
葡萄王       ,890
蔚華科       ,652
藍天         ,2258
虹光         ,143
虹冠電       ,112
融程電       ,56
裕日車       ,145
裕民         ,878
裕融         ,169
裕豐         ,8
裕隆         ,1257
訊舟         ,302
訊芯-KY      ,173
訊連         ,198
詮欣         ,140
誠創         ,74
誠研         ,423
誠美材       ,1312
譁裕         ,167
谷崧         ,865
豐泰         ,3384
豐祥-KY      ,173
豐興         ,128
豐藝         ,214
豐達科       ,84
貿聯-KY      ,2317
資通         ,64
超眾         ,418
超豐         ,768
越南控-DR    ,173
車王電       ,237
辛耘         ,298
農林         ,1001
迅杰         ,1370
迎廣         ,35
通嘉         ,138
連宇         ,358
達新         ,40
達方         ,681
達欣工       ,110
達能         ,2286
達興材料     ,65
達運         ,2805
達邁         ,90
達麗         ,145
遠傳         ,1850
遠東新       ,3539
遠東銀       ,1704
遠百         ,9159
遠見         ,36
遠雄來       ,35
遠雄港       ,128
金像電       ,5183
金寶         ,2478
金橋         ,66
金麗-KY      ,445
鈞寶         ,59
鈞泰         ,2941
鈺德         ,539
鈺邦         ,74
鈺齊-KY      ,1211
鉅祥         ,143
銘旺科       ,6
銘異         ,5753
錩新         ,228
錩泰         ,181
錸德         ,13881
鎧勝-KY      ,812
鎰勝         ,74
鑫永銓       ,184
鑫禾         ,151
鑽全         ,694
長榮         ,9480
長榮航       ,13334
長興         ,226
長華         ,539
開發金       ,25517
閎暉         ,4817
關貿         ,30
阿瘦         ,32
陞泰         ,109
陽光能源-DR  ,189
陽明         ,17641
隆大         ,86
隆達         ,5955
隴華         ,11
雃博         ,1255
雄獅         ,519
集盛         ,12682
零壹         ,2901
雷虎         ,385
震旦行       ,115
順德         ,227
飛宏         ,222
飛捷         ,413
首利         ,3159
高力         ,139
高林         ,168
高林股       ,252
高興昌       ,91
高雄銀       ,233
鳳凰         ,110
鴻名         ,117
鴻海         ,15514
鴻準         ,6275
麗嬰房       ,252
麗正         ,262
麗臺         ,1064
麗豐-KY      ,1365
鼎元         ,3574
鼎固-KY      ,261
龍燈-KY      ,625
龍邦         ,120
